run_id,voltage_V,timing_threshold_mV,nominal_ctr_ps,ctr_mean_ps,ctr_bootstrap_std_ps,bootstrap_samples_requested,bootstrap_samples_successful,bootstrap_ctr_min_ps,bootstrap_ctr_max_ps,toa_lsb_ps,n_before_outlier,n_after_outlier,n_outlier_rejected,outlier_center_ps,outlier_sigma_ps,outlier_limit_ps,fit_metric
Run4240,42.0,40.0,67.51824700600869,67.78612795819707,0.44104780762755347,100,100,66.43368707542818,68.84670948356832,3.125,11475,11291,184,0.0,27.79875,111.195,common_bin_integrated_gaussian_all_events
Run4340,43.0,40.0,66.24348464714153,66.39474442251431,0.48316313981347214,100,100,64.96882159630042,67.9284486148016,3.125,11422,11204,218,0.0,27.79875,111.195,common_bin_integrated_gaussian_all_events
Run4440,44.0,40.0,66.33975383910628,66.31316604086051,0.4970487275906043,100,100,65.159237116755,67.24848638801305,3.125,11495,11318,177,0.0,27.79875,111.195,common_bin_integrated_gaussian_all_events
Run4540,45.0,40.0,65.24814565562708,65.27846024190302,0.5144139647349176,100,100,63.99000514027985,66.69165799156475,3.125,11474,11273,201,0.0,27.79875,111.195,common_bin_integrated_gaussian_all_events
Run4640,46.0,40.0,65.24205014894211,65.3605962016429,0.7558463953965985,100,100,63.65598681728274,67.38995781568715,3.125,5933,5824,109,0.0,27.79875,111.195,common_bin_integrated_gaussian_all_events
Run4740,47.0,40.0,65.79727795970716,65.78428671885521,0.4915079004916465,100,100,64.54489405984887,67.15175032241552,3.125,11772,11538,234,-3.125,27.79875,111.195,common_bin_integrated_gaussian_all_events
Run4840,48.0,40.0,66.09281508777657,66.16221456629683,0.49373995277498145,100,100,65.00587046225525,67.51618617523293,3.125,12027,11759,268,-3.125,27.79875,111.195,common_bin_integrated_gaussian_all_events
Run4940,49.0,40.0,66.32307161326762,66.39497416608987,0.533406102902684,100,100,65.21056059679375,67.91408291971298,3.125,12186,11888,298,-3.125,27.79875,111.195,common_bin_integrated_gaussian_all_events
