run_id,Voltage,E_th,T_th,gaussian_area_events,CTR_ps,CTR_error_ps,n_photopeak,n_fit,efficiency,efficiency_error
Run4620,46.0,60.0,20.0,5610.0,65.43730683001304,0.9751989293069716,5793,5610,0.9684101501812532,0.0022980087751359284
Run4630,46.0,60.0,30.0,5757.0,66.6522524845281,0.6240384510167386,5909,5757,0.9742765273311897,0.00205943895697593
Run4644,46.0,60.0,40.0,11570.0,65.45550005967803,0.4196028723575878,11847,11570,0.9766185532202245,0.001388334069548415
Run4650,46.0,60.0,50.0,5784.0,66.41365750675037,0.6215548054609707,5931,5784,0.9752149721800708,0.002018742487324449
Run4660,46.0,60.0,60.0,5648.0,65.89227869407611,0.6242496519750643,5800,5648,0.9737931034482759,0.0020976216057326555
Run4670,46.0,60.0,70.0,5840.0,67.59661072748264,0.9010549717141912,5981,5840,0.9764253469319512,0.001961802466705003
