voltage_V,raw_events,photopeak_events,retained_percent,source
45.0,20135,6763,33.58827911596722,45V-400mV.root
46.0,21510,8037,37.36401673640167,46V-440mV.root
47.0,20073,8482,42.25576645244856,47V-470mV.root
48.0,60091,30786,51.2322976818492,48V-153mV.root
48.0,20264,7049,34.785827082510856,48V-480mV.root
49.0,25054,7078,28.250977887762435,49V-150mV.root
49.0,23059,6756,29.29875536666811,49V-490mV.root
